,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
5205,DETACHED DUPLEX,Lekki,5,5,6,"170,000,000",SALE
5206,HOUSE FOR,Lekki,0,0,0,"90,000,000",SALE
5207,HOUSE FOR,Lekki,0,0,0,"160,000,000",SALE
5208,DUPLEX HOUSE,Lekki,0,0,0,"60,000,000",SALE
5209,SEMI DETACHED,Lekki,4,5,6,"55,000,000",SALE
5210,BLOCKS OF,Ikeja,3,0,0,"45,000,000",SALE
5211,SALE,Ajah,0,0,0,"32,000,000",SALE
5212,SEMI DETACHED,Lekki,4,0,0,"55,000,000",SALE
5213,DETACHED DUPLEX,Ajah,5,5,6,"70,000,000",SALE
5214,TERRACED DUPLEX,Surulere,4,5,5,"67,000,000",SALE
5215,HOUSE FOR,Lekki,0,0,0,"64,000,000",SALE
5216,DETACHED DUPLEX,Lekki,5,5,5,"130,000,000",SALE
5217,DETACHED DUPLEX,Lekki,5,5,6,"90,000,000",SALE
5218,BLOCKS OF,Oshodi,3,2,2,"70,000,000",SALE
5219,DUPLEX HOUSE,Lekki,0,0,0,"57,000,000",SALE
5220,BLOCKS OF,Alimosho,3,2,2,"35,000,000",SALE
5221,FLATS HOUSE,Agege,beds,baths,Toilets,"35,000,000",SALE
5222,SEMI DETACHED,Ikoyi,5,5,5,"400,000,000",SALE
5223,SEMI DETACHED,Ajah,4,4,5,"45,000,000",SALE
5224,DETACHED DUPLEX,Ikoyi,6,6,7,"310,000,000",SALE
5225,TERRACED DUPLEX,Ikeja,4,3,5,"45,000,000",SALE
5226,FLATS HOUSE,Igando,0,0,0,"120,000,000",SALE
5227,HOUSE FOR,-Ajah,0,0,0,"60,000,000",SALE
5228,DUPLEX HOUSE,Lekki,0,0,0,"59,000,000",SALE
5229,HOUSE FOR,Ajah,5,5,6,"58,000,000",SALE
5230,DETACHED DUPLEX,Ikoyi,5,5,6,"300,000,000",SALE
5231,DETACHED DUPLEX,Ikeja,4,baths,Toilets,"65,000,000",SALE
5232,BLOCKS OF,Ikeja,3,3,4,"65,000,000",SALE
5233,DETACHED DUPLEX,Lekki,5,0,0,"105,000,000",SALE
5234,HOUSE FOR,Lekki,0,0,0,"33,000,000",SALE
5235,DETACHED DUPLEX,Lekki,5,5,6,"120,000,000",SALE
5236,TERRACED DUPLEX,Lekki,5,5,6,"65,000,000",SALE
5237,HOUSE FOR,Ikoyi,5,0,0,"850,000,000",SALE
5238,DETACHED DUPLEX,Lekki,4,0,0,"54,000,000",SALE
5239,DUPLEX HOUSE,Ikoyi,0,0,0,"470,000,000",SALE
5240,DUPLEX HOUSE,Lekki,0,0,0,"45,000,000",SALE
5241,SEMI DETACHED,Ikeja,4,4,5,"50,000,000",SALE
5242,DUPLEX HOUSE,Lekki,0,0,0,"92,000,000",SALE
5243,HOUSE FOR,Ikeja,beds,baths,Toilets,"250,000,000",SALE
5244,DETACHED BUNGALOW,Ajah,3,0,0,"35,000,000",SALE
5245,BLOCKS OF,roadKetu,2,0,0,"48,000,000",SALE
5246,MINI FLAT,Lekki,1,1,2,"50,000,000",SALE
5247,DETACHED DUPLEX,Lekki,4,4,5,"70,000,000",SALE
5248,TERRACED DUPLEX,Ikoyi,4,4,5,"300,000,000",SALE
5249,SEMI DETACHED,Lekki,4,4,5,"55,000,000",SALE
5250,HOUSE FOR,Lekki,0,0,0,"45,000,000",SALE
5251,DETACHED DUPLEX,Lekki,5,5,6,"85,000,000",SALE
5252,SEMI DETACHED,Lekki,5,0,0,"60,000,000",SALE
5253,DETACHED BUNGALOW,Gbagada,3,3,3,"30,000,000",SALE
5254,HOUSE FOR,Lekki,0,0,0,"70,000,000",SALE
5255,DETACHED DUPLEX,Ojodu,5,6,7,"65,000,000",SALE
5256,HOUSE FOR,Lekki,4,0,0,"34,000,000",SALE
5257,HOUSE FOR,Ikoyi,0,0,0,"950,000,000",SALE
5258,TERRACED DUPLEX,Ikeja,4,4,5,"150,000,000",SALE
5259,FLATS HOUSE,Ipaja,0,0,0,"25,000,000",SALE
5260,SEMI DETACHED,Gbagada,4,4,5,"65,000,000",SALE
5261,HOUSE FOR,Island,0,0,0,"300,000,000",SALE
5262,DETACHED DUPLEX,Ikeja,5,4,4,"50,000,000",SALE
5263,SEMI DETACHED,Lekki,4,0,0,"48,000,000",SALE
5264,FLATS HOUSE,Ikeja,0,0,0,"65,000,000",SALE
5265,DETACHED DUPLEX,Lekki,5,5,6,"60,000,000",SALE
5266,DETACHED DUPLEX,Lekki,5,5,6,"165,000,000",SALE
5267,HOUSE FOR,Surulere,3,0,0,"100,000,000",SALE
5268,TERRACED DUPLEX,Surulere,4,5,5,"67,000,000",SALE
5269,HOUSE FOR,Island,9,7,10,"400,000,000",SALE
5270,DETACHED DUPLEX,Ikeja,4,0,0,"85,000,000",SALE
5271,DETACHED DUPLEX,Lekki,6,6,7,"95,000,000",SALE
5272,SEMI DETACHED,Lekki,4,5,5,"40,000,000",SALE
5273,BLOCKS OF,Ojodu,2,2,3,"60,000,000",SALE
5274,DETACHED DUPLEX,Ojodu,3,3,4,"18,000,000",SALE
5275,DETACHED DUPLEX,Ikeja,8,0,0,"320,000,000",SALE
5276,DETACHED DUPLEX,Ojodu,4,4,5,"90,000,000",SALE
5277,SEMI DETACHED,Ikeja,4,4,3,"100,000,000",SALE
5278,DETACHED DUPLEX,Lekki,5,5,5,"100,000,000",SALE
5279,DETACHED DUPLEX,Egba,4,6,6,"45,000,000",SALE
5280,TERRACED DUPLEX,Ikeja,4,4,5,"150,000,000",SALE
5281,FLATS HOUSE,Island,0,0,0,"1,400,000,000",SALE
5282,BLOCKS OF,WayIsolo,3,0,0,"70,000,000",SALE
5283,TERRACED DUPLEX,Ikoyi,5,5,6,"185,000,000",SALE
5284,DETACHED DUPLEX,Island,5,5,5,"115,000,000",SALE
5285,HOUSE FOR,Ajah,0,0,0,"70,000,000",SALE
5286,DETACHED DUPLEX,homesLekki,5,0,0,"120,000,000",SALE
5287,HOUSE FOR,Lekki,0,0,0,"40,000,000",SALE
5288,HOUSE FOR,Agege,3,3,4,"25,000,000",SALE
5289,SALE,Surulere,0,0,0,"45,000,000",SALE
5290,MINI FLAT,Lekki,1,1,2,"50,000,000",SALE
5291,HOUSE FOR,Odofin,5,0,0,"62,000,000",SALE
5292,SALE,Surulere,beds,baths,Toilets,"35,000,000",SALE
5293,HOUSE FOR,Island,4,4,5,"120,000,000",SALE
5294,DETACHED DUPLEX,Lekki,5,5,6,"65,000,000",SALE
5295,BLOCKS OF,Yaba,2,2,3,"27,000,000",SALE
5296,HOUSE FOR,Ajah,0,0,0,"10,000,000",SALE
5297,HOUSE FOR,Lekki,4,0,0,"55,000,000",SALE
5298,HOUSE FOR,Lekki,4,0,0,"65,000,000",SALE
5299,DUPLEX HOUSE,Lekki,0,0,0,"40,000,000",SALE
5300,SEMI DETACHED,Lekki,4,4,5,"46,000,000",SALE
5301,SALE,Lekki,beds,baths,Toilets,"9,000,000",SALE
5302,DETACHED DUPLEX,Ikoyi,6,6,7,"310,000,000",SALE
5303,DETACHED DUPLEX,Lekki,5,baths,Toilets,"95,000,000",SALE
5304,HOUSE FOR,Lekki,beds,baths,Toilets,"65,000,000",SALE
5305,FLATS HOUSE,Lekki,beds,baths,Toilets,"27,000,000",SALE
5306,HOUSE FOR,Lekki,beds,baths,Toilets,"19,000,000",SALE
5307,SEMI DETACHED,Ojodu,4,4,5,"28,000,000",SALE
