,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
4203,MINI FLAT,Lekki,1,1,1,"1,500,000",RENT
4204,MINI FLAT,Ojodu,1,1,1,"300,000",RENT
4205,MINI FLAT,Ajah,3,0,0,"800,000",RENT
4206,BLOCKS OF,Lekki,9,10,10,"7,000,000",RENT
4207,MINI FLAT,Lekki,2,2,2,"3,000,000",RENT
4208,MASSIONETTE HOUSE,Ikoyi,3,3,4,"10,000,000",RENT
4209,FLAT ,Yaba,3,3,4,"45,000,000",SALE
4210,MINI FLAT,Ikorodu,1,1,1,"150,000",RENT
4211,MINI FLAT,Lekki,1,1,2,"1,000,000",RENT
4212,FLAT ,Ikorodu,2,2,2,"250,000",RENT
4213,MINI FLAT,Lekki,1,1,2,"1,000,000",RENT
4214,MINI FLAT,Lekki,1,1,1,"1,500,000",RENT
4215,MINI FLAT,Lekki,2,2,2,"2,500,000",RENT
4216,SHARED APARTMENT,Lekki,2,2,0,"800,000",RENT
4217,MINI FLAT,Ikoyi,3,3,3,"3,500,000",RENT
4218,MINI FLAT,Lekki,3,3,3,"2,800,000",RENT
4219,SEMI DETACHED,Ogudu,4,baths,Toilets,"3,000,000",RENT
4220,SEMI DETACHED,Lekki,3,3,4,"3,500,000",RENT
4221,FLAT ,Gbagada,5,5,5,"3,500,000",RENT
4222,HOUSE FOR,...Ogudu,2,3,3,"1,000,000",RENT
4223,HOUSE FOR,Ogba,5,baths,Toilets,"7,000,000",RENT
4224,TERRACED DUPLEX,Lekki,4,4,5,"5,000,000",RENT
4225,HOUSE FOR,Lekki,4,4,5,"4,500,000",RENT
4226,MINI FLAT,Lekki,1,1,1,"1,100,000",RENT
4227,MINI FLAT,Lekki,1,1,1,"1,000,000",RENT
4228,MINI FLAT,Lekki,1,1,1,"300,000",RENT
4229,FLAT ,Ajah,3,3,3,"600,000",RENT
4230,FOR RENT,2,beds,baths,3,"6,500,000",RENT
4231,SEMI DETACHED,Lekki,4,4,5,"4,500,000",RENT
4232,MINI FLAT,Lekki,1,1,1,"500,000",RENT
4233,TERRACED DUPLEX,Lekki,4,5,5,"3,500,000",RENT
4234,FLAT ,Lekki,2,2,3,"1,400,000",RENT
4235,PROPERTY FOR,Ikeja,beds,baths,Toilets,"600,000",RENT
4236,MINI FLAT,Ojodu,1,1,1,"400,000",RENT
4237,APARTMENT FOR,Ogba,beds,baths,Toilets,"500,000",RENT
4238,HOUSE FOR,Maryland,4,baths,Toilets,"5,000,000",RENT
4239,FLAT ,Maryland,3,3,4,"1,600,000",RENT
4240,FLAT ,Maryland,3,3,4,"1,300,000",RENT
4241,APARTMENT FOR,Ojodu,beds,baths,Toilets,"700,000",RENT
4242,DETACHED DUPLEX,Ikosi,5,5,6,"5,500,000",RENT
4243,TERRACED DUPLEX,Lekki,4,4,5,"4,000,000",RENT
4244,FLAT ,Lekki,3,3,4,"2,300,000",RENT
4245,SELF CONTAIN,Alimosho,3,3,4,"750,000",RENT
4246,MINI FLAT,Egba,1,2,2,"350,000",RENT
4247,TERRACED DUPLEX,Ajah,3,3,4,"1,500,000",RENT
4248,MINI FLAT,Ikosi,1,baths,Toilets,"500,000",RENT
4249,SELF CONTAIN,Ikosi,3,2,3,"700,000",RENT
4250,FLAT ,Ikosi,3,3,3,"750,000",RENT
4251,HOUSE FOR,Camp,4,4,5,"100,000",SHORTLET
4252,FLAT ,Ogudu,2,3,3,"900,000",RENT
4253,MINI FLAT,Gbagada,1,2,2,"350,000",RENT
4254,MINI FLAT,Ikeja,1,1,1,"1,000,000",RENT
4255,MINI FLAT,Ikosi,1,1,1,"700,000",RENT
4256,TERRACED DUPLEX,Lekki,3,3,4,"1,500,000",RENT
4257,MINI FLAT,Surulere,1,1,2,"650,000",RENT
4258,MINI FLAT,Surulere,1,1,2,"650,000",RENT
4259,BLOCKS OF,Ajah,3,3,2,"1,400,000",RENT
4260,FLAT ,Gbagada,2,2,Toilets,"1,100,000",RENT
4261,MINI FLAT,Ikosi,1,1,1,"400,000",RENT
4262,FLAT ,Ikosi,2,2,3,"650,000",RENT
4263,DETACHED DUPLEX,Lekki,4,4,4,"4,000,000",RENT
4264,MINI FLAT,Ikosi,1,1,1,"220,000",RENT
4265,FLAT ,Ikoyi,4,4,5,"15,000,000",RENT
4266,FLAT ,Yaba,2,2,3,"2,000,000",RENT
4267,FLAT ,Island,3,3,4,"5,000,000",RENT
